Chen Grapel	

First Number	Second Number		GCD
------------	-------------		---
33			9				3
40			4				4
38			14				2
1			10				1
48			7				1
46			13				1
1			27				1
27			0				27
9			21				3
4			0				4
49			13				1
10			11				1
9			11				1
45			20				5
1			17				1
45			15				15
38			15				1
36			7				1
5			27				1
32			27				1
8			21				1
14			26				2
0			24				24
32			19				1
43			24				1
27			9				9
22			0				22
30			11				1
35			23				1
31			3				1
26			23				1
25			27				1
20			15				5
43			5				1
26			7				1
29			13				1
18			2				2
47			22				1
33			0				33
32			22				2
19			27				1
16			25				1
3			5				1
5			25				5
7			4				1
11			11				11
3			23				1
9			17				1
7			26				1
31			2				1
34			12				2
32			19				1
6			8				2
32			23				1
23			29				1
46			27				1
15			4				1
26			12				2
29			1				1
31			3				1
10			25				5
9			28				1
29			10				1
1			18				1
23			5				1
35			26				1
40			5				5
6			0				6
16			10				2
18			17				1
25			24				1
19			9				1
33			23				1
13			20				1
8			2				2
36			19				1
23			21				1
8			17				1
20			9				1
41			20				1
7			26				1
26			1				1
5			10				5
4			9				1
29			27				1
18			23				1
0			21				21
41			29				1
11			12				1
49			22				1
46			8				2
21			20				1
2			24				2
14			14				14
7			24				1
17			3				1
26			8				2
8			27				1
9			25				1
37			9				1
